From file: CTD 1335 261120;Instrument no.:;1335;;;;;;;;
Ser;Interval (sec);Integration;Air pressure;Salinity;Chart Datum (dbar);;;;;
1;2;;972,78;;;;;;;
;;;;;;;;;;
Ser;Meas;Sal.;Temp;F (?g/l);OpOx %;Opmg/l;Density;Press;Date;Time
1;1;0,01;0,476;0,07;102,43;14,18;-0,119;0;24-11-2020;10:35:53
1;2;0,02;0,033;0,07;102,13;14,32;-0,139;0;24-11-2020;10:35:55
1;3;0,01;-0,045;0,07;102,16;14,35;-0,152;0;24-11-2020;10:35:57
1;4;0,01;-0,031;0,07;102,49;14,39;-0,151;0,02;24-11-2020;10:35:59
1;5;0,01;-0,029;0,07;103,6;14,55;-0,151;0,03;24-11-2020;10:36:01
1;6;0,01;-0,018;0,07;103,2;14,49;-0,15;0,01;24-11-2020;10:36:03
1;7;0,01;0,013;0,07;102,61;14,39;-0,148;0,03;24-11-2020;10:36:05
1;8;0,02;0,053;0,07;102,98;14,43;-0,137;0;24-11-2020;10:36:07
1;9;0,02;0,102;0,07;102,35;14,32;-0,134;0,01;24-11-2020;10:36:09
1;10;0,02;0,094;0,06;102,04;14,28;-0,135;0;24-11-2020;10:36:11
1;11;0,02;0,088;0,07;101,63;14,23;-0,135;0;24-11-2020;10:36:13
1;12;0,02;0,073;0,07;101,27;14,18;-0,136;0;24-11-2020;10:36:15
1;13;0,01;0,047;0,09;102,08;14,31;-0,146;0,02;24-11-2020;10:36:17
1;14;0,02;0,056;0,06;101,68;14,25;-0,137;0;24-11-2020;10:36:19
1;15;0,01;0,039;0,07;101,4;14,21;-0,147;0;24-11-2020;10:36:21
1;16;0,02;-0,039;0,07;101,74;14,29;-0,144;0;24-11-2020;10:36:23
1;17;0,01;-0,131;0,07;101,49;14,29;-0,158;0;24-11-2020;10:36:25
1;18;0,01;-0,155;0,07;102,43;14,44;-0,16;0,01;24-11-2020;10:36:27
1;19;0,01;-0,198;0,07;102,21;14,42;-0,163;0;24-11-2020;10:36:29
1;20;0,01;-0,179;0,69;102,71;14,49;-0,162;0;24-11-2020;10:36:31
1;21;0,01;-0,194;0,07;102,37;14,44;-0,163;0,01;24-11-2020;10:36:33
1;22;0,01;-0,303;0,07;103,22;14,61;-0,171;0;24-11-2020;10:36:35
1;23;0;-0,445;0,2;103,51;14,71;-0,189;0;24-11-2020;10:36:37
1;24;0,03;1,938;0,23;101,63;13,51;-0,034;0,12;24-11-2020;10:36:39
1;25;0,03;2,332;0,2;100,51;13,22;-0,022;0,16;24-11-2020;10:36:41
1;26;0,02;2,383;0,41;99,99;13,13;-0,029;0,18;24-11-2020;10:36:43
1;27;0,03;2,408;0,2;99,56;13,07;-0,02;0,23;24-11-2020;10:36:45
1;28;0,02;2,418;0,2;99,26;13,03;-0,028;0,22;24-11-2020;10:36:47
1;29;0,03;2,408;0,21;98,94;12,99;-0,02;0,24;24-11-2020;10:36:49
1;30;0,02;2,404;0,2;98,67;12,95;-0,028;0,27;24-11-2020;10:36:51
1;31;0,03;2,407;0,21;98,66;12,95;-0,02;0,19;24-11-2020;10:36:53
1;32;0,02;2,405;0,21;98,58;12,94;-0,028;0,2;24-11-2020;10:36:55
1;33;0,03;2,405;0,24;98,21;12,89;-0,02;0,22;24-11-2020;10:36:57
1;34;0,02;2,398;0,2;98,03;12,87;-0,028;0,19;24-11-2020;10:36:59
1;35;0,03;2,398;0,2;98,01;12,87;-0,02;0,23;24-11-2020;10:37:01
1;36;0,03;2,394;0,21;97,74;12,83;-0,02;0,25;24-11-2020;10:37:03
1;37;0,02;2,391;0,21;97,62;12,82;-0,028;0,23;24-11-2020;10:37:05
1;38;0,02;2,389;0,25;97,51;12,81;-0,028;0,24;24-11-2020;10:37:07
1;39;0,03;2,387;0,2;97,37;12,79;-0,02;0,24;24-11-2020;10:37:09
1;40;0,03;2,382;0,18;97,26;12,77;-0,02;0,23;24-11-2020;10:37:11
1;41;0,02;2,382;0,2;97,15;12,76;-0,029;0,21;24-11-2020;10:37:13
