From file: CTD 1335 200121;Instrument no.:;1335;;;;;;;;;;
Ser;Interval (sec);Integration;Air pressure;Salinity;Chart Datum (dbar);;;;;;;
1;46;0,02;0,03;0,019;0,18;99,76;14,27;-0,139;1402,51;0,1;15-1-2021;09:42:46
1;47;0,02;0,03;0,019;0,22;99,64;14,25;-0,139;1402,51;0,08;15-1-2021;09:42:48
1;48;0;0;0,027;0,2;99,54;14,24;-0,156;1402,52;0,01;15-1-2021;09:42:50
1;49;0;0;0,056;0,03;99,6;14,24;-0,154;1402,67;0;15-1-2021;09:42:52
1;50;0;0;0,11;0,03;99,75;14,24;-0,15;1402,94;0;15-1-2021;09:42:54
1;51;0,01;0,01;0,152;0,03;100,68;14,35;-0,139;1403,17;0;15-1-2021;09:42:56
1;52;0;0;0,211;0,03;100,43;14,29;-0,143;1403,45;0,01;15-1-2021;09:42:58
1;53;0,01;0,01;0,269;0,03;100,44;14,27;-0,131;1403,75;0,02;15-1-2021;09:43:00
1;54;0;0;0,318;0,03;100,4;14,24;-0,137;1403,98;0,02;15-1-2021;09:43:02
1;55;0;0;0,34;0,03;100,39;14,23;-0,135;1404,09;0,02;15-1-2021;09:43:04
1;56;0,01;0,01;0,347;0,03;100,38;14,23;-0,127;1404,14;0;15-1-2021;09:43:06
1;57;0,01;0,01;0,356;0,03;100,4;14,23;-0,126;1404,19;0;15-1-2021;09:43:08
1;58;0;0;0,363;0,03;100,38;14,22;-0,134;1404,21;0,01;15-1-2021;09:43:10
1;59;0;0;0,363;0,19;100,26;14,21;-0,134;1404,21;0,01;15-1-2021;09:43:12
1;60;0,01;0,01;0,361;0,17;100,01;14,17;-0,126;1404,21;0;15-1-2021;09:43:14
1;61;0;0;0,354;0,2;99,83;14,15;-0,134;1404,16;0;15-1-2021;09:43:16
1;62;0;0;0,356;0,19;99,68;14,13;-0,134;1404,17;0,01;15-1-2021;09:43:18
1;63;0;0;0,368;0,2;99,65;14,12;-0,134;1404,23;0;15-1-2021;09:43:20
1;64;0;0;0,379;0,25;99,53;14,1;-0,133;1404,29;0;15-1-2021;09:43:22
1;65;0;0;0,388;0,18;99,51;14,09;-0,132;1404,33;0;15-1-2021;09:43:24
1;66;0;0;0,399;0,1;99,45;14,08;-0,132;1404,39;0;15-1-2021;09:43:26
1;67;0;0;0,404;0,03;99,98;14,15;-0,131;1404,41;0;15-1-2021;09:43:28
1;68;0;0;0,399;0,03;100,49;14,23;-0,132;1404,39;0;15-1-2021;09:43:30
1;69;0;0;0,392;0,03;100,54;14,24;-0,132;1404,35;0;15-1-2021;09:43:32
1;70;0;0;0,389;0,03;100,53;14,23;-0,132;1404,34;0;15-1-2021;09:43:34
1;71;0;0;0,388;0,03;100,48;14,23;-0,132;1404,33;0;15-1-2021;09:43:36
1;72;0;0;0,395;0,03;100,39;14,21;-0,132;1404,37;0;15-1-2021;09:43:38
1;73;0;0;0,4;0,03;100,36;14,21;-0,132;1404,39;0;15-1-2021;09:43:40
1;74;0;0;0,412;0,21;99,92;14,14;-0,131;1404,45;0,03;15-1-2021;09:43:42
1;75;0;0;0,422;0,2;99,64;14,1;-0,13;1404,5;0,01;15-1-2021;09:43:44
1;76;0;0;0,428;0,18;99,52;14,08;-0,13;1404,53;0;15-1-2021;09:43:46
1;77;0;0;0,429;0,2;99,33;14,05;-0,13;1404,54;0;15-1-2021;09:43:48
1;78;0;0;0,41;0,18;99,22;14,04;-0,131;1404,44;0;15-1-2021;09:43:50
1;79;0,03;0,04;0,067;0,18;99,17;14,17;-0,127;1402,77;0,26;15-1-2021;09:43:52
1;80;0,01;0,01;0,028;0,2;99,16;14,18;-0,146;1402,55;0,3;15-1-2021;09:43:54
1;81;0,01;0,01;0,023;0,18;99,12;14,18;-0,146;1402,52;0,29;15-1-2021;09:43:56
1;82;0,01;0,01;0,024;0,22;99,06;14,17;-0,146;1402,53;0,31;15-1-2021;09:43:58
1;83;0;0;0,023;0,2;99,63;14,25;-0,154;1402,51;0,31;15-1-2021;09:44:00
1;84;0,01;0,01;0,023;0,2;99,56;14,24;-0,146;1402,52;0,34;15-1-2021;09:44:02
1;85;0,01;0,01;0,02;0,17;99,34;14,21;-0,146;1402,51;0,35;15-1-2021;09:44:04
1;86;0,01;0,01;0,018;0,19;99,31;14,21;-0,146;1402,5;0,36;15-1-2021;09:44:06
1;87;0,01;0,01;0,021;0,19;99,23;14,2;-0,146;1402,51;0,32;15-1-2021;09:44:08
1;88;0,01;0,01;0,022;0,2;99,1;14,18;-0,146;1402,52;0,34;15-1-2021;09:44:10
1;89;0,01;0,01;0,027;0,22;99,11;14,18;-0,146;1402,54;0,36;15-1-2021;09:44:12
1;90;0,02;0,03;0,027;0,18;99,08;14,17;-0,137;1402,56;0,34;15-1-2021;09:44:14
1;91;0,02;0,03;0,023;0,2;99,03;14,17;-0,137;1402,54;0,37;15-1-2021;09:44:16
1;92;0,02;0,03;0,022;0,21;99,03;14,17;-0,137;1402,53;0,39;15-1-2021;09:44:18
1;93;0,02;0,03;0,022;0,17;98,97;14,16;-0,137;1402,53;0,41;15-1-2021;09:44:20
1;94;0,02;0,03;0,022;0,19;98,95;14,16;-0,137;1402,53;0,42;15-1-2021;09:44:22
1;95;0,02;0,03;0,021;0,26;98,95;14,16;-0,137;1402,53;0,41;15-1-2021;09:44:24
1;96;0,02;0,03;0,022;0,21;98,97;14,16;-0,137;1402,53;0,44;15-1-2021;09:44:26
1;97;0,02;0,03;0,023;0,19;98,89;14,15;-0,137;1402,54;0,44;15-1-2021;09:44:28
1;98;0,02;0,03;0,022;0,21;98,95;14,16;-0,137;1402,53;0,43;15-1-2021;09:44:30
1;99;0,02;0,03;0,021;0,19;98,9;14,15;-0,137;1402,53;0,44;15-1-2021;09:44:32
1;100;0,01;0,01;0,02;0,23;98,87;14,15;-0,146;1402,51;0,4;15-1-2021;09:44:34
1;101;0,01;0,01;0,021;0,19;98,91;14,15;-0,146;1402,51;0,44;15-1-2021;09:44:36
1;102;0,02;0,03;0,022;0,21;98,88;14,15;-0,137;1402,53;0,49;15-1-2021;09:44:38
1;103;0,01;0,01;0,02;0,19;98,86;14,14;-0,145;1402,51;0,47;15-1-2021;09:44:40
1;104;0,01;0,01;0,019;0,18;98,86;14,14;-0,145;1402,51;0,52;15-1-2021;09:44:42
1;105;0,01;0,01;0,019;0,18;98,89;14,15;-0,145;1402,51;0,49;15-1-2021;09:44:44
1;106;0,01;0,01;0,019;0,17;98,91;14,15;-0,145;1402,51;0,49;15-1-2021;09:44:46
1;107;0,01;0,01;0,02;0,18;98,85;14,14;-0,145;1402,51;0,49;15-1-2021;09:44:48
1;108;0,01;0,01;0,019;0,21;98,86;14,14;-0,145;1402,5;0,48;15-1-2021;09:44:50
1;109;0,01;0,01;0,021;0,21;98,9;14,15;-0,145;1402,52;0,51;15-1-2021;09:44:52
1;110;0,01;0,01;0,021;0,19;98,85;14,14;-0,145;1402,52;0,54;15-1-2021;09:44:54
1;111;0,01;0,01;0,018;0,19;98,81;14,14;-0,146;1402,5;0,41;15-1-2021;09:44:56
1;112;0,01;0,01;0,017;0,21;98,81;14,14;-0,146;1402,49;0,41;15-1-2021;09:44:58
1;113;0,01;0,01;0,018;0,2;98,8;14,14;-0,146;1402,5;0,43;15-1-2021;09:45:00
1;114;0,01;0,01;0,02;0,19;98,82;14,14;-0,146;1402,51;0,42;15-1-2021;09:45:02
1;115;0,01;0,01;0,02;0,22;98,76;14,13;-0,145;1402,51;0,46;15-1-2021;09:45:04
1;116;0,02;0,03;0,019;0,19;98,74;14,13;-0,137;1402,52;0,44;15-1-2021;09:45:06
1;117;0,02;0,03;0,017;0,18;98,78;14,13;-0,137;1402,51;0,48;15-1-2021;09:45:08
1;118;0,02;0,03;0,018;0,18;98,74;14,13;-0,137;1402,51;0,51;15-1-2021;09:45:10
1;119;0,01;0,01;0,018;0,23;98,74;14,13;-0,145;1402,5;0,5;15-1-2021;09:45:12
1;120;0,01;0,01;0,018;0,2;98,71;14,12;-0,146;1402,5;0,4;15-1-2021;09:45:14
1;121;0,02;0,03;0,018;0,2;98,74;14,13;-0,136;1402,52;0,72;15-1-2021;09:45:16
1;122;0,01;0,01;0,017;0,2;98,68;14,12;-0,142;1402,51;1,21;15-1-2021;09:45:18
1;123;0,01;0,01;0,016;0,18;98,62;14,11;-0,14;1402,51;1,55;15-1-2021;09:45:20
1;124;0,01;0,01;0,015;0,2;98,56;14,1;-0,139;1402,51;1,86;15-1-2021;09:45:22
1;125;0,02;0,03;0,015;0,17;98,6;14,11;-0,128;1402,53;2,25;15-1-2021;09:45:24
1;126;0,01;0,01;0,015;0,2;98,59;14,11;-0,134;1402,52;2,73;15-1-2021;09:45:26
1;127;0,01;0,01;0,016;0,19;98,54;14,1;-0,132;1402,53;3,2;15-1-2021;09:45:28
1;128;0;0;0,015;0,19;98,54;14,1;-0,138;1402,52;3,63;15-1-2021;09:45:30
1;129;0,01;0,01;0,019;0,15;98,27;14,06;-0,127;1402,56;4,08;15-1-2021;09:45:32
1;130;0,01;0,01;0,024;0,16;97,86;14;-0,125;1402,59;4,48;15-1-2021;09:45:34
1;131;0,02;0,03;0,031;0,19;97,41;13,93;-0,113;1402,65;5,11;15-1-2021;09:45:36
1;132;0,02;0,03;0,035;0,22;96,95;13,86;-0,109;1402,68;5,75;15-1-2021;09:45:38
1;133;0,02;0,03;0,039;0,19;96,54;13,8;-0,106;1402,71;6,42;15-1-2021;09:45:40
1;134;0,02;0,03;0,041;0,18;96,3;13,77;-0,103;1402,73;6,93;15-1-2021;09:45:42
1;135;0,02;0,03;0,043;0,16;96,12;13,74;-0,1;1402,75;7,54;15-1-2021;09:45:44
1;136;0,02;0,03;0,045;0,17;95,99;13,72;-0,097;1402,77;8,09;15-1-2021;09:45:46
1;137;0,01;0,01;0,048;0,18;95,86;13,7;-0,102;1402,78;8,57;15-1-2021;09:45:48
1;138;0,02;0,03;0,05;0,16;95,78;13,69;-0,091;1402,81;9,13;15-1-2021;09:45:50
1;139;0,01;0,01;0,051;0,17;95,74;13,69;-0,096;1402,81;9,74;15-1-2021;09:45:52
1;140;0,01;0,01;0,053;0,17;95,8;13,69;-0,093;1402,83;10,37;15-1-2021;09:45:54
1;141;0,01;0,01;0,057;0,19;95,8;13,69;-0,09;1402,86;10,88;15-1-2021;09:45:56
1;142;0,01;0,01;0,062;0,19;95,7;13,68;-0,087;1402,89;11,47;15-1-2021;09:45:58
1;143;0,01;0,01;0,067;0,19;95,66;13,67;-0,083;1402,92;12,09;15-1-2021;09:46:00
1;144;0,01;0,01;0,072;0,2;95,59;13,66;-0,08;1402,96;12,69;15-1-2021;09:46:02
1;145;0,01;0,01;0,079;0,16;95,69;13,67;-0,075;1403,01;13,52;15-1-2021;09:46:04
1;146;0,01;0,01;0,088;0,19;95,68;13,66;-0,07;1403,07;14,43;15-1-2021;09:46:06
1;147;0,01;0,01;0,096;0,16;95,66;13,66;-0,065;1403,12;15,34;15-1-2021;09:46:08
1;148;0,01;0,01;0,101;0,18;95,55;13,64;-0,061;1403,16;16,09;15-1-2021;09:46:10
1;149;0,02;0,03;0,108;0,18;95,57;13,64;-0,048;1403,22;16,82;15-1-2021;09:46:12
1;150;0,02;0,03;0,113;0,18;95,57;13,64;-0,044;1403,25;17,5;15-1-2021;09:46:14
1;151;0,02;0,03;0,116;0,19;95,61;13,64;-0,04;1403,28;18,3;15-1-2021;09:46:16
1;152;0,01;0,01;0,124;0,16;95,51;13,62;-0,044;1403,32;19,02;15-1-2021;09:46:18
1;153;0,02;0,03;0,129;0,15;95,48;13,62;-0,033;1403,37;19,55;15-1-2021;09:46:20
1;154;0,01;0,01;0,133;0,16;95,5;13,62;-0,038;1403,38;20,14;15-1-2021;09:46:22
1;155;0,01;0,01;0,136;0,17;95,53;13,62;-0,034;1403,41;20,79;15-1-2021;09:46:24
1;156;0,01;0,01;0,14;0,17;95,43;13,61;-0,031;1403,44;21,48;15-1-2021;09:46:26
1;157;0,02;0,03;0,144;0,19;95,49;13,61;-0,019;1403,48;22,05;15-1-2021;09:46:28
1;158;0,02;0,03;0,147;0,23;95,39;13,6;-0,016;1403,5;22,7;15-1-2021;09:46:30
1;159;0,02;0,03;0,154;0,17;95,39;13,59;-0,012;1403,55;23,31;15-1-2021;09:46:32
1;160;0,02;0,03;0,161;0,18;95,4;13,59;-0,009;1403,59;23,87;15-1-2021;09:46:34
1;161;0,01;0,01;0,166;0,17;95,31;13,58;-0,014;1403,61;24,48;15-1-2021;09:46:36
1;162;0,01;0,01;0,174;0,17;95,29;13,57;-0,011;1403,66;24,98;15-1-2021;09:46:38
1;163;0,01;0,01;0,181;0,15;95,3;13,57;-0,008;1403,7;25,48;15-1-2021;09:46:40
1;164;0,02;0,03;0,186;0,18;95,27;13,57;0,004;1403,75;26,07;15-1-2021;09:46:42
1;165;0,01;0,01;0,193;0,15;95,19;13,55;-0,001;1403,78;26,58;15-1-2021;09:46:44
1;166;0,02;0,03;0,199;0,16;95,17;13,55;0,01;1403,83;27,17;15-1-2021;09:46:46
1;167;0,01;0,01;0,204;0,19;95,18;13,55;0,006;1403,85;27,83;15-1-2021;09:46:48
1;168;0,01;0,01;0,21;0,15;95,16;13,54;0,009;1403,89;28,46;15-1-2021;09:46:50
1;169;0,01;0,01;0,218;0,2;95,16;13,54;0,013;1403,94;29,09;15-1-2021;09:46:52
1;170;0,01;0,01;0,222;0,14;95,11;13,53;0,016;1403,97;29,6;15-1-2021;09:46:54
1;171;0,01;0,01;0,236;0,17;95,13;13,53;0,02;1404,05;30,27;15-1-2021;09:46:56
1;172;0,01;0,01;0,256;0,17;95,08;13,51;0,025;1404,17;31,04;15-1-2021;09:46:58
1;173;0,01;0,01;0,279;0,21;95,01;13,49;0,03;1404,29;31,79;15-1-2021;09:47:00
1;174;0,01;0,01;0,304;0,18;94,97;13,48;0,036;1404,43;32,51;15-1-2021;09:47:02
1;175;0,01;0,01;0,338;0,14;94,9;13,46;0,041;1404,61;33,19;15-1-2021;09:47:04
1;176;0,01;0,01;0,377;0,15;94,87;13,44;0,047;1404,81;33,93;15-1-2021;09:47:06
1;177;0,01;0,01;0,432;0,15;94,76;13,4;0,054;1405,1;34,58;15-1-2021;09:47:08
1;178;0;0;0,571;0,17;94,74;13,35;0,057;1405,79;35,22;15-1-2021;09:47:10
1;179;0,01;0,01;0,712;0,16;94,65;13,28;0,077;1406,51;36,06;15-1-2021;09:47:12
1;180;0,01;0,01;0,845;0,14;94,38;13,19;0,088;1407,18;36,82;15-1-2021;09:47:14
1;181;0,01;0,01;1,051;0,14;94,11;13,08;0,102;1408,21;37,58;15-1-2021;09:47:16
1;182;0,01;0,01;1,207;0,2;93,71;12,97;0,113;1408,99;38,27;15-1-2021;09:47:18
1;183;0,02;0,03;1,355;0,13;93,53;12,89;0,132;1409,74;39,13;15-1-2021;09:47:20
1;184;0,01;0,01;1,466;0,13;93,31;12,82;0,131;1410,28;39,73;15-1-2021;09:47:22
1;185;0,02;0,03;1,523;0,14;93,29;12,8;0,145;1410,58;40,46;15-1-2021;09:47:24
1;186;0,01;0,01;1,586;0,15;93,16;12,76;0,143;1410,88;41,1;15-1-2021;09:47:26
1;187;0,01;0,01;1,634;0,16;93,14;12,74;0,148;1411,13;41,84;15-1-2021;09:47:28
1;188;0,01;0,01;1,679;0,15;93,08;12,72;0,154;1411,36;42,6;15-1-2021;09:47:30
1;189;0,01;0,01;1,727;0,14;93,02;12,69;0,158;1411,6;43,19;15-1-2021;09:47:32
1;190;0,01;0,01;1,767;0,15;92,95;12,67;0,164;1411,8;43,96;15-1-2021;09:47:34
1;191;0,01;0,01;1,798;0,15;92,96;12,66;0,168;1411,97;44,71;15-1-2021;09:47:36
1;192;0,01;0,01;1,826;0,15;92,82;12,63;0,173;1412,11;45,38;15-1-2021;09:47:38
1;193;0,01;0,01;1,849;0,14;92,83;12,62;0,177;1412,23;46,09;15-1-2021;09:47:40
1;194;0,01;0,01;1,866;0,13;92,69;12,6;0,18;1412,32;46,6;15-1-2021;09:47:42
1;195;0,01;0,01;1,887;0,15;92,66;12,59;0,184;1412,43;47,29;15-1-2021;09:47:44
1;196;0,01;0,01;1,907;0,15;92,54;12,56;0,188;1412,54;47,91;15-1-2021;09:47:46
1;197;0,01;0,01;1,932;0,15;92,54;12,55;0,193;1412,67;48,67;15-1-2021;09:47:48
1;198;0,02;0,03;1,963;0,13;92,39;12,52;0,206;1412,85;49,4;15-1-2021;09:47:50
1;199;0,02;0,03;1,98;0,15;92,27;12,5;0,21;1412,94;50,26;15-1-2021;09:47:52
1;200;0,02;0,03;2,006;0,15;92,28;12,49;0,215;1413,08;50,97;15-1-2021;09:47:54
1;201;0,01;0,01;2,025;0,15;92,26;12,48;0,211;1413,17;51,69;15-1-2021;09:47:56
1;202;0,02;0,03;2,047;0,13;92,18;12,47;0,224;1413,3;52,51;15-1-2021;09:47:58
1;203;0,02;0,03;2,067;0,15;92,05;12,44;0,228;1413,41;53,22;15-1-2021;09:48:00
1;204;0,01;0,01;2,083;0,15;91,68;12,39;0,223;1413,48;53,84;15-1-2021;09:48:02
1;205;0,01;0,01;2,092;0,23;91,5;12,36;0,223;1413,52;53,79;15-1-2021;09:48:04
1;206;0,01;0,01;2,092;0,16;91,34;12,34;0,223;1413,52;53,77;15-1-2021;09:48:06
1;207;0,01;0,01;2,09;0,13;91,31;12,33;0,223;1413,51;53,73;15-1-2021;09:48:08
1;208;0,01;0,01;2,086;0,19;91,34;12,34;0,224;1413,49;53,86;15-1-2021;09:48:10
1;209;0,01;0,01;2,087;0,16;91,3;12,33;0,223;1413,5;53,74;15-1-2021;09:48:12
1;210;0,01;0,01;2,088;0,15;91,31;12,33;0,223;1413,5;53,68;15-1-2021;09:48:14
1;211;0,01;0,01;2,088;0,16;91,31;12,33;0,223;1413,5;53,65;15-1-2021;09:48:16
1;212;0,01;0,01;2,086;0,2;91,41;12,35;0,222;1413,49;53,64;15-1-2021;09:48:18
1;213;0,01;0,01;2,084;0,15;91,34;12,34;0,222;1413,48;53,66;15-1-2021;09:48:20
1;214;0,01;0,01;2,081;0,17;91,33;12,34;0,223;1413,47;53,69;15-1-2021;09:48:22
1;215;0,02;0,03;2,084;0,2;91,43;12,35;0,231;1413,5;53,68;15-1-2021;09:48:24
1;216;0,02;0,03;2,086;0,17;91,35;12,34;0,231;1413,51;53,65;15-1-2021;09:48:26
1;217;0,02;0,03;2,085;0,16;91,39;12,35;0,231;1413,5;53,66;15-1-2021;09:48:28
1;218;0,01;0,01;2,083;0,18;91,4;12,35;0,223;1413,48;53,7;15-1-2021;09:48:30
1;219;0,01;0,01;2,084;0,14;91,42;12,35;0,223;1413,48;53,73;15-1-2021;09:48:32
1;220;0,01;0,01;2,079;0,2;91,43;12,35;0,223;1413,46;53,73;15-1-2021;09:48:34
1;221;0,01;0,01;2,083;0,15;91,37;12,34;0,223;1413,48;53,74;15-1-2021;09:48:36
1;222;0,01;0,01;2,086;0,14;91,49;12,36;0,223;1413,49;53,77;15-1-2021;09:48:38
1;223;0,01;0,01;2,089;0,16;91,4;12,35;0,223;1413,51;53,74;15-1-2021;09:48:40
1;224;0,01;0,01;2,088;0,15;91,4;12,35;0,223;1413,5;53,77;15-1-2021;09:48:42
1;225;0,01;0,01;2,087;0,19;91,45;12,35;0,223;1413,5;53,77;15-1-2021;09:48:44
1;226;0,01;0,01;2,087;0,16;91,45;12,35;0,223;1413,5;53,76;15-1-2021;09:48:46
1;227;0,01;0,01;2,089;0,14;91,46;12,35;0,223;1413,51;53,66;15-1-2021;09:48:48
1;228;0,01;0,01;2,088;0,18;91,45;12,35;0,222;1413,5;53,6;15-1-2021;09:48:50
1;229;0,01;0,01;2,084;0,18;91,51;12,36;0,222;1413,48;53,54;15-1-2021;09:48:52
1;230;0,01;0,01;2,086;0,15;91,56;12,37;0,222;1413,49;53,56;15-1-2021;09:48:54
1;231;0,01;0,01;2,088;0,21;91,56;12,37;0,222;1413,5;53,63;15-1-2021;09:48:56
1;232;0,01;0,01;2,091;0,15;91,55;12,37;0,222;1413,51;53,6;15-1-2021;09:48:58
1;233;0,01;0,01;2,092;0,15;91,49;12,36;0,223;1413,52;53,62;15-1-2021;09:49:00
1;234;0,01;0,01;2,092;0,2;91,49;12,36;0,223;1413,52;53,64;15-1-2021;09:49:02
1;235;0,01;0,01;2,092;0,16;91,5;12,36;0,223;1413,52;53,62;15-1-2021;09:49:04
1;236;0,01;0,01;2,089;0,25;91,58;12,37;0,222;1413,51;53,61;15-1-2021;09:49:06
1;237;0,01;0,01;2,082;0,14;91,54;12,37;0,222;1413,47;53,62;15-1-2021;09:49:08
1;238;0,01;0,01;2,08;0,14;91,51;12,36;0,222;1413,46;53,65;15-1-2021;09:49:10
1;239;0,01;0,01;2,085;0,14;91,45;12,35;0,22;1413,48;53,25;15-1-2021;09:49:12
1;240;0,01;0,01;2,077;0,13;91,5;12,36;0,219;1413,44;52,92;15-1-2021;09:49:14
1;241;0,02;0,03;2,075;0,15;91,52;12,37;0,226;1413,44;52,79;15-1-2021;09:49:16
1;242;0,02;0,03;2,069;0,13;91,58;12,38;0,226;1413,41;52,78;15-1-2021;09:49:18
1;243;0,02;0,03;2,064;0,14;91,65;12,39;0,224;1413,38;52,53;15-1-2021;09:49:20
1;244;0,02;0,03;2,061;0,12;91,74;12,4;0,222;1413,36;52,13;15-1-2021;09:49:22
1;245;0,01;0,01;2,043;0,14;91,84;12,42;0,211;1413,25;51,59;15-1-2021;09:49:24
1;246;0,02;0,03;2,035;0,13;91,95;12,44;0,217;1413,22;51,24;15-1-2021;09:49:26
1;247;0,02;0,03;2,024;0,16;92,01;12,45;0,215;1413,17;50,96;15-1-2021;09:49:28
1;248;0,02;0,03;2,024;0,15;92,07;12,46;0,215;1413,16;50,86;15-1-2021;09:49:30
1;249;0,01;0,01;2,016;0,14;92,18;12,48;0,206;1413,11;50,77;15-1-2021;09:49:32
1;250;0,01;0,01;2,007;0,19;92,23;12,49;0,204;1413,06;50,45;15-1-2021;09:49:34
1;251;0,01;0,01;1,999;0,15;92,17;12,48;0,203;1413,02;50,23;15-1-2021;09:49:36
1;252;0,02;0,03;1,989;0,15;92,19;12,49;0,208;1412,98;49,79;15-1-2021;09:49:38
1;253;0,02;0,03;1,977;0,15;92,16;12,49;0,206;1412,91;49,34;15-1-2021;09:49:40
1;254;0,01;0,01;1,972;0,2;92,16;12,49;0,195;1412,87;48,9;15-1-2021;09:49:42
1;255;0,02;0,03;1,939;0,15;92,23;12,51;0,2;1412,72;48,36;15-1-2021;09:49:44
1;256;0,02;0,03;1,921;0,15;92,33;12,53;0,196;1412,62;47,82;15-1-2021;09:49:46
