From file: CTD 1335 200121;Instrument no.:;1335;;;;;;;;;;
Ser;Interval (sec);Integration;Air pressure;Salinity;Chart Datum (dbar);;;;;;;
1;2;;992,24;53m;;;;;;;;
;;;;;;;;;;;;
Ser;Meas;Sal.;Cond.;Temp;F (?g/l);OpOx %;Opmg/l;Density;S. vel.;Press;Date;Time
1;1;0;0;1,185;0,05;101,3;14,03;-0,09;1408,28;0;15-1-2021;09:41:16
1;2;0;0;1,015;0,04;101,34;14,1;-0,098;1407,44;0;15-1-2021;09:41:18
1;3;0;0;0,999;0,04;101,32;14,1;-0,098;1407,36;0,01;15-1-2021;09:41:20
1;4;0;0;1,004;0,04;101,3;14,1;-0,098;1407,39;0;15-1-2021;09:41:22
1;5;0;0;1,015;0,04;101,26;14,09;-0,098;1407,44;0,02;15-1-2021;09:41:24
1;6;0;0;1,01;0,04;101,26;14,09;-0,098;1407,42;0,01;15-1-2021;09:41:26
1;7;0;0;0,991;0,04;101,23;14,09;-0,099;1407,32;0;15-1-2021;09:41:28
1;8;0;0;0,959;0,04;101,28;14,11;-0,101;1407,17;0;15-1-2021;09:41:30
1;9;0;0;0,93;0,04;101,23;14,12;-0,102;1407,02;0;15-1-2021;09:41:32
1;10;0;0;0,907;0,04;101,2;14,12;-0,103;1406,91;0,01;15-1-2021;09:41:34
1;11;0;0;0,889;0,04;101,18;14,13;-0,104;1406,82;0;15-1-2021;09:41:36
1;12;0;0;0,88;0,04;101,15;14,13;-0,105;1406,78;0;15-1-2021;09:41:38
1;13;0;0;0,873;0,04;101,16;14,13;-0,105;1406,74;0,01;15-1-2021;09:41:40
1;14;0;0;0,881;0,04;101,13;14,12;-0,105;1406,78;0;15-1-2021;09:41:42
1;15;0;0;0,89;0,04;101,11;14,12;-0,104;1406,83;0,01;15-1-2021;09:41:44
1;16;0;0;0,896;0,04;101,11;14,12;-0,104;1406,85;0;15-1-2021;09:41:46
1;17;0;0;0,888;0,04;101,09;14,12;-0,104;1406,82;0,01;15-1-2021;09:41:48
1;18;0;0;0,88;0,19;103,15;14,41;-0,105;1406,78;0,01;15-1-2021;09:41:50
1;19;0,01;0,01;0,33;0,18;102,55;14,54;-0,127;1404,06;0,11;15-1-2021;09:41:52
1;20;0,06;0,07;0,066;0,21;101,73;14,53;-0,103;1402,81;0,16;15-1-2021;09:41:54
1;21;0,04;0,05;0,034;0,19;101,24;14,48;-0,122;1402,62;0,13;15-1-2021;09:41:56
1;22;0,03;0,04;0,025;0,18;100,97;14,44;-0,13;1402,56;0,12;15-1-2021;09:41:58
1;23;0,02;0,03;0,027;0,2;100,84;14,42;-0,138;1402,55;0,15;15-1-2021;09:42:00
1;24;0,02;0,03;0,025;0,19;100,65;14,4;-0,138;1402,54;0,15;15-1-2021;09:42:02
1;25;0,01;0,01;0,022;0,19;100,59;14,39;-0,147;1402,51;0,14;15-1-2021;09:42:04
1;26;0,01;0,01;0,023;0,18;100,36;14,36;-0,147;1402,52;0,13;15-1-2021;09:42:06
1;27;0,01;0,01;0,028;0,19;100,38;14,36;-0,147;1402,55;0,14;15-1-2021;09:42:08
1;28;0,02;0,03;0,029;0,2;100,25;14,34;-0,138;1402,56;0,15;15-1-2021;09:42:10
1;29;0,03;0,04;0,025;0,16;100,22;14,33;-0,13;1402,56;0,11;15-1-2021;09:42:12
1;30;0,01;0,01;0,025;0,19;100,21;14,34;-0,147;1402,53;0,12;15-1-2021;09:42:14
1;31;0,02;0,03;0,026;0,21;100,21;14,33;-0,138;1402,55;0,14;15-1-2021;09:42:16
1;32;0,01;0,01;0,022;0,17;100,15;14,33;-0,147;1402,51;0,12;15-1-2021;09:42:18
1;33;0,01;0,01;0,024;0,23;100,03;14,31;-0,147;1402,52;0,14;15-1-2021;09:42:20
1;34;0,01;0,01;0,026;0,19;100,12;14,32;-0,147;1402,53;0,13;15-1-2021;09:42:22
1;35;0,01;0,01;0,027;0,19;100,09;14,32;-0,147;1402,54;0,14;15-1-2021;09:42:24
1;36;0,01;0,01;0,027;0,18;99,98;14,3;-0,147;1402,54;0,11;15-1-2021;09:42:26
1;37;0,01;0,01;0,028;0,18;99,91;14,29;-0,147;1402,54;0,1;15-1-2021;09:42:28
1;38;0,01;0,01;0,028;0,2;99,99;14,3;-0,147;1402,54;0,07;15-1-2021;09:42:30
1;39;0,01;0,01;0,024;0,19;99,9;14,29;-0,147;1402,52;0,09;15-1-2021;09:42:32
1;40;0,01;0,01;0,025;0,19;99,96;14,3;-0,147;1402,53;0,09;15-1-2021;09:42:34
1;41;0,01;0,01;0,025;0,19;99,96;14,3;-0,147;1402,53;0,09;15-1-2021;09:42:36
1;42;0,02;0,03;0,023;0,19;99,93;14,29;-0,139;1402,53;0,09;15-1-2021;09:42:38
1;43;0,01;0,01;0,022;0,19;99,84;14,28;-0,147;1402,51;0,1;15-1-2021;09:42:40
1;44;0,02;0,03;0,023;0,17;99,84;14,28;-0,139;1402,53;0,13;15-1-2021;09:42:42
1;45;0,02;0,03;0,019;0,17;99,8;14,28;-0,139;1402,51;0,11;15-1-2021;09:42:44
