SSDA Sea &;Sun Techn;ology's Sta;ndard Data;Acquisiti;on softw;are packa;ge rev 2.18;1.06;0.2015;;;
C:\SST_SDA\;CONFIG\CT;M980.SPJ;;;;;;;;;;
19-4-2021 00:00;16:16:30;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
StandardDat;aAcquisit;ion SDA (C);opyright b;y T. Finge;r 1999-2;15;;;;;;
;;;;;;;;;;;;
001 CTM980;001  P  P;ress  dbar;-51.364.800;0,00E+00;17.754;3000000E-;0002  1.8629;0;0,00E+00;0;0,00E+00;0.00000000000E+0000  0.00000000000E+0000
62;16:06:59;19-4-2021;0.65;0.2;0.0311;105.45;15.3;7.23;0.13;-0.04;0.024;11.77
63;16:06:59;19-4-2021;0.69;0.206;0.0315;105.4;15.29;7.23;0.13;-0.04;0.0243;11.77
64;16:06:59;19-4-2021;0.71;0.211;0.0317;105.39;15.28;7.23;0.13;-0.05;0.0245;11.77
65;16:07:00;19-4-2021;0.72;0.216;0.0318;105.29;15.27;7.22;0.15;-0.05;0.0246;11.76
66;16:07:00;19-4-2021;0.72;0.22;0.0319;105.2;15.25;7.22;0.15;-0.05;0.0247;11.77
67;16:07:00;19-4-2021;0.81;0.221;0.032;105.17;15.25;7.22;0.15;-0.05;0.0247;11.76
68;16:07:00;19-4-2021;0.78;0.223;0.032;105.14;15.24;7.22;0.14;-0.05;0.0247;11.76
69;16:07:00;19-4-2021;0.8;0.223;0.032;105.09;15.24;7.22;0.14;-0.05;0.0247;11.77
70;16:07:00;19-4-2021;0.78;0.223;0.032;104.91;15.21;7.22;0.14;-0.05;0.0247;11.77
71;16:07:00;19-4-2021;0.78;0.224;0.032;104.72;15.18;7.22;0.14;-0.05;0.0247;11.77
72;16:07:01;19-4-2021;0.83;0.223;0.032;104.76;15.19;7.22;0.14;-0.05;0.0247;11.76
73;16:07:01;19-4-2021;0.81;0.224;0.032;104.85;15.2;7.22;0.14;-0.05;0.0247;11.77
74;16:07:01;19-4-2021;0.83;0.225;0.032;104.82;15.2;7.22;0.14;-0.05;0.0247;11.77
75;16:07:01;19-4-2021;0.85;0.226;0.032;104.74;15.18;7.22;0.14;-0.05;0.0248;11.77
76;16:07:01;19-4-2021;0.9;0.227;0.032;104.69;15.18;7.22;0.15;-0.05;0.0248;11.77
77;16:07:01;19-4-2021;0.9;0.226;0.0321;104.57;15.16;7.22;0.16;-0.05;0.0248;11.76
78;16:07:02;19-4-2021;0.96;0.225;0.0321;104.37;15.13;7.22;0.16;-0.05;0.0248;11.77
79;16:07:02;19-4-2021;0.96;0.224;0.0321;104.49;15.15;7.22;0.17;-0.05;0.0249;11.77
80;16:07:02;19-4-2021;0.99;0.224;0.0322;104.51;15.15;7.22;0.17;-0.05;0.0249;11.77
81;16:07:02;19-4-2021;1.03;0.223;0.0322;104.38;15.13;7.22;0.16;-0.05;0.0249;11.77
