From file: CTD 1335 291020;Instrument no.:;1335;;;;;;;;;;
Ser;Interval (sec);Integration;Air pressure;Salinity;Chart Datum (dbar);;;;;;;
1;2;;972,99;71m;;;;;;;;
2;2;;959,90;54m;;;;;;;;
Ser;Meas;Sal.;Cond.;Temp;F;OpOx;Opmgl;Density;S. vel.;Press;Date;Time
1;1;0,02;0,03;4,415;0,06;98,37;12,24;-0,010;1423,55;0,00;27-10-2020;09:33:40
1;2;0,01;0,01;4,357;0,06;98,37;12,26;-0,018;1423,27;0,00;27-10-2020;09:33:42
1;3;0,01;0,01;4,373;0,06;98,49;12,27;-0,018;1423,35;0,00;27-10-2020;09:33:44
1;4;0,00;0,00;4,372;0,05;98,10;12,22;-0,026;1423,33;0,00;27-10-2020;09:33:46
1;5;0,01;0,01;4,357;2,49;98,67;12,30;-0,018;1423,27;0,00;27-10-2020;09:33:48
1;6;0,02;0,03;4,294;0,05;99,26;12,39;-0,010;1423,00;0,01;27-10-2020;09:33:50
1;7;0,01;0,01;4,218;0,17;103,20;12,91;-0,017;1422,64;0,01;27-10-2020;09:33:52
1;8;0,02;0,03;5,180;0,24;102,51;12,51;-0,020;1427,00;0,10;27-10-2020;09:33:54
1;9;0,04;0,05;5,379;0,39;101,13;12,27;-0,008;1427,91;0,13;27-10-2020;09:33:56
1;10;0,04;0,05;5,406;0,86;100,21;12,15;-0,008;1428,03;0,11;27-10-2020;09:33:58
1;11;0,04;0,05;5,429;0,30;99,84;12,10;-0,009;1428,13;0,14;27-10-2020;09:34:00
1;12;0,04;0,05;5,417;0,15;99,48;12,06;-0,009;1428,08;0,11;27-10-2020;09:34:02
1;13;0,04;0,05;5,424;0,45;99,07;12,01;-0,009;1428,11;0,12;27-10-2020;09:34:04
1;14;0,04;0,05;5,404;0,19;98,69;11,97;-0,008;1428,02;0,16;27-10-2020;09:34:06
1;15;0,02;0,03;5,403;0,27;98,48;11,95;-0,024;1427,99;0,09;27-10-2020;09:34:08
1;16;0,03;0,04;5,407;0,17;97,98;11,88;-0,016;1428,02;0,10;27-10-2020;09:34:10
1;17;0,04;0,05;5,406;0,72;97,92;11,88;-0,008;1428,03;0,17;27-10-2020;09:34:12
1;18;0,03;0,04;5,404;0,31;97,55;11,83;-0,017;1428,00;0,07;27-10-2020;09:34:14
1;19;0,04;0,05;5,405;0,18;97,46;11,82;-0,008;1428,02;0,15;27-10-2020;09:34:16
1;20;0,02;0,03;5,408;0,18;97,19;11,79;-0,025;1428,01;0,10;27-10-2020;09:34:18
1;21;0,03;0,04;5,411;0,18;97,11;11,78;-0,016;1428,04;0,13;27-10-2020;09:34:20
1;22;0,03;0,04;5,409;0,18;97,22;11,79;-0,017;1428,03;0,10;27-10-2020;09:34:22
1;23;0,02;0,03;5,396;0,19;97,21;11,80;-0,024;1427,96;0,12;27-10-2020;09:34:24
1;24;0,03;0,04;5,385;0,18;96,84;11,75;-0,016;1427,92;0,09;27-10-2020;09:34:26
1;25;0,04;0,05;5,390;0,20;96,71;11,73;-0,008;1427,96;0,12;27-10-2020;09:34:28
1;26;0,02;0,03;5,394;0,18;96,63;11,73;-0,024;1427,95;0,16;27-10-2020;09:34:30
1;27;0,03;0,04;5,399;0,16;96,49;11,71;-0,016;1427,98;0,07;27-10-2020;09:34:32
1;28;0,02;0,03;5,402;0,16;96,45;11,70;-0,024;1427,98;0,13;27-10-2020;09:34:34
1;29;0,03;0,04;5,399;0,20;96,32;11,69;-0,016;1427,98;0,09;27-10-2020;09:34:36
1;30;0,03;0,04;5,399;0,29;96,37;11,69;-0,016;1427,98;0,13;27-10-2020;09:34:38
1;31;0,02;0,03;5,402;1,75;96,28;11,68;-0,024;1427,98;0,10;27-10-2020;09:34:40
1;32;0,02;0,03;5,401;0,18;96,05;11,65;-0,025;1427,98;0,07;27-10-2020;09:34:42
1;33;0,03;0,04;5,401;0,58;95,91;11,64;-0,016;1427,99;0,14;27-10-2020;09:34:44
1;34;0,02;0,03;5,403;1,82;95,95;11,64;-0,024;1427,99;0,08;27-10-2020;09:34:46
1;35;0,03;0,04;5,404;2,49;95,89;11,63;-0,016;1428,00;0,08;27-10-2020;09:34:48
1;36;0,03;0,04;5,401;0,41;95,85;11,63;-0,016;1427,99;0,10;27-10-2020;09:34:50
1;37;0,03;0,04;5,398;0,22;95,82;11,63;-0,016;1427,98;0,09;27-10-2020;09:34:52
1;38;0,03;0,04;5,401;0,33;95,63;11,60;-0,016;1427,99;0,09;27-10-2020;09:34:54
1;39;0,04;0,05;5,397;0,17;95,55;11,59;-0,008;1427,99;0,09;27-10-2020;09:34:56
1;40;0,03;0,04;5,385;0,19;95,51;11,59;-0,016;1427,92;0,09;27-10-2020;09:34:58
1;41;0,03;0,04;5,386;0,17;95,52;11,59;-0,016;1427,92;0,09;27-10-2020;09:35:00
