Date;Zone;Quantum;divided.10000
5-2-2021 19:12;WATER;3189;0,3189
5-2-2021 19:12;WATER;3405;0,3405
5-2-2021 19:12;WATER;3676;0,3676
5-2-2021 19:26;WATER;3928;0,3928
5-2-2021 19:26;WATER;4054;0,4054
5-2-2021 19:26;WATER;4072;0,4072
5-2-2021 19:40;WATER;4378;0,4378
5-2-2021 19:40;WATER;3279;0,3279
5-2-2021 19:55;WATER;3351;0,3351
5-2-2021 19:55;WATER;3225;0,3225
5-2-2021 19:55;WATER;2775;0,2775
5-2-2021 20:09;WATER;3207;0,3207
5-2-2021 20:09;WATER;3784;0,3784
5-2-2021 20:09;WATER;4162;0,4162
5-2-2021 20:24;WATER;4198;0,4198
5-2-2021 20:24;WATER;3694;0,3694
5-2-2021 20:24;WATER;3189;0,3189
5-2-2021 20:38;WATER;3676;0,3676
5-2-2021 20:38;WATER;3063;0,3063
5-2-2021 20:38;WATER;4180;0,418
5-2-2021 20:52;WATER;3477;0,3477
5-2-2021 20:52;WATER;4000;0,4
5-2-2021 20:52;WATER;4216;0,4216
5-2-2021 21:07;WATER;3802;0,3802
5-2-2021 21:07;WATER;3712;0,3712
5-2-2021 21:07;WATER;3712;0,3712
5-2-2021 21:21;WATER;3585;0,3585
5-2-2021 21:21;WATER;3946;0,3946
5-2-2021 21:21;WATER;3459;0,3459
5-2-2021 21:36;WATER;3405;0,3405
5-2-2021 21:36;WATER;3784;0,3784
5-2-2021 21:36;WATER;3640;0,364
5-2-2021 21:50;WATER;2811;0,2811
5-2-2021 21:50;WATER;4018;0,4018
5-2-2021 22:04;WATER;3405;0,3405
5-2-2021 22:04;WATER;3982;0,3982
5-2-2021 22:04;WATER;4000;0,4
5-2-2021 22:19;WATER;3640;0,364
5-2-2021 22:19;WATER;3243;0,3243
5-2-2021 22:19;WATER;3838;0,3838
5-2-2021 22:33;WATER;3964;0,3964
5-2-2021 22:33;WATER;3838;0,3838
5-2-2021 22:33;WATER;4234;0,4234
5-2-2021 22:48;WATER;4072;0,4072
5-2-2021 22:48;WATER;3099;0,3099
5-2-2021 22:48;WATER;3441;0,3441
5-2-2021 23:02;WATER;4216;0,4216
5-2-2021 23:02;WATER;4072;0,4072
5-2-2021 23:02;WATER;4414;0,4414
5-2-2021 23:16;WATER;2955;0,2955
5-2-2021 23:16;WATER;3621;0,3621
5-2-2021 23:16;WATER;3261;0,3261
5-2-2021 23:31;WATER;3640;0,364
5-2-2021 23:31;WATER;3838;0,3838
5-2-2021 23:31;WATER;4072;0,4072
5-2-2021 23:45;WATER;3910;0,391
5-2-2021 23:45;WATER;3603;0,3603
6-2-2021 00:00;WATER;3297;0,3297
6-2-2021 00:00;WATER;3441;0,3441
6-2-2021 00:00;WATER;3658;0,3658
6-2-2021 00:14;WATER;3405;0,3405
6-2-2021 00:14;WATER;3369;0,3369
6-2-2021 00:14;WATER;3495;0,3495
6-2-2021 00:28;WATER;3477;0,3477
6-2-2021 00:28;WATER;3838;0,3838
6-2-2021 00:28;WATER;4432;0,4432
6-2-2021 00:43;WATER;3189;0,3189
6-2-2021 00:43;WATER;4702;0,4702
6-2-2021 00:43;WATER;3766;0,3766
6-2-2021 00:57;WATER;3549;0,3549
6-2-2021 00:57;WATER;3730;0,373
6-2-2021 00:57;WATER;3531;0,3531
6-2-2021 01:12;WATER;3712;0,3712
6-2-2021 01:12;WATER;3135;0,3135
6-2-2021 01:12;WATER;2973;0,2973
6-2-2021 01:26;WATER;4144;0,4144
6-2-2021 01:26;WATER;4396;0,4396
6-2-2021 01:26;WATER;3243;0,3243
6-2-2021 01:40;WATER;3189;0,3189
6-2-2021 01:40;WATER;3964;0,3964
6-2-2021 01:55;WATER;4198;0,4198
6-2-2021 01:55;WATER;3297;0,3297
6-2-2021 01:55;WATER;3838;0,3838
6-2-2021 02:09;WATER;3910;0,391
6-2-2021 02:09;WATER;3387;0,3387
6-2-2021 02:09;WATER;2919;0,2919
6-2-2021 02:24;WATER;4126;0,4126
6-2-2021 02:24;WATER;4180;0,418
6-2-2021 02:24;WATER;4000;0,4
6-2-2021 02:38;WATER;4054;0,4054
6-2-2021 02:38;WATER;3405;0,3405
6-2-2021 02:38;WATER;3946;0,3946
6-2-2021 02:52;WATER;3676;0,3676
6-2-2021 02:52;WATER;3748;0,3748
6-2-2021 02:52;WATER;3748;0,3748
6-2-2021 03:07;WATER;3279;0,3279
6-2-2021 03:07;WATER;4216;0,4216
6-2-2021 03:07;WATER;3045;0,3045
6-2-2021 03:21;WATER;3369;0,3369
6-2-2021 03:21;WATER;4504;0,4504
6-2-2021 03:21;WATER;4054;0,4054
6-2-2021 03:36;WATER;3459;0,3459
6-2-2021 03:36;WATER;3730;0,373
6-2-2021 03:36;WATER;4108;0,4108
6-2-2021 03:50;WATER;3748;0,3748
6-2-2021 03:50;WATER;3549;0,3549
6-2-2021 04:04;WATER;3748;0,3748
6-2-2021 04:04;WATER;3585;0,3585
6-2-2021 04:04;WATER;3045;0,3045
6-2-2021 04:19;WATER;3910;0,391
6-2-2021 04:19;WATER;3658;0,3658
6-2-2021 04:19;WATER;3603;0,3603
6-2-2021 04:33;WATER;3189;0,3189
6-2-2021 04:33;WATER;3063;0,3063
6-2-2021 04:33;WATER;3603;0,3603
6-2-2021 04:48;WATER;3477;0,3477
6-2-2021 04:48;WATER;3730;0,373
6-2-2021 04:48;WATER;3027;0,3027
6-2-2021 05:02;WATER;3712;0,3712
6-2-2021 05:02;WATER;3694;0,3694
6-2-2021 05:02;WATER;4000;0,4
6-2-2021 05:16;WATER;4216;0,4216
6-2-2021 05:16;WATER;3477;0,3477
6-2-2021 05:16;WATER;4072;0,4072
6-2-2021 05:31;WATER;3207;0,3207
6-2-2021 05:31;WATER;4000;0,4
6-2-2021 05:31;WATER;3567;0,3567
6-2-2021 05:45;WATER;3730;0,373
6-2-2021 05:45;WATER;2811;0,2811
6-2-2021 06:00;WATER;3423;0,3423
6-2-2021 06:00;WATER;3171;0,3171
6-2-2021 06:00;WATER;3892;0,3892
6-2-2021 06:14;WATER;2523;0,2523
6-2-2021 06:14;WATER;3225;0,3225
6-2-2021 06:14;WATER;3874;0,3874
6-2-2021 06:28;WATER;3946;0,3946
6-2-2021 06:28;WATER;4054;0,4054
6-2-2021 06:28;WATER;3225;0,3225
6-2-2021 06:43;WATER;3207;0,3207
6-2-2021 06:43;WATER;3784;0,3784
6-2-2021 06:43;WATER;3477;0,3477
6-2-2021 06:57;WATER;3441;0,3441
6-2-2021 06:57;WATER;3658;0,3658
6-2-2021 06:57;WATER;4342;0,4342
6-2-2021 07:12;WATER;3567;0,3567
6-2-2021 07:12;WATER;3441;0,3441
6-2-2021 07:12;WATER;3459;0,3459
6-2-2021 07:26;WATER;3802;0,3802
6-2-2021 07:26;WATER;3874;0,3874
6-2-2021 07:26;WATER;3621;0,3621
6-2-2021 07:40;WATER;4072;0,4072
6-2-2021 07:40;WATER;3676;0,3676
6-2-2021 07:55;WATER;3676;0,3676
6-2-2021 07:55;WATER;3459;0,3459
6-2-2021 07:55;WATER;3549;0,3549
6-2-2021 08:09;WATER;3405;0,3405
6-2-2021 08:09;WATER;3748;0,3748
6-2-2021 08:09;WATER;3802;0,3802
6-2-2021 08:24;WATER;4108;0,4108
6-2-2021 08:24;WATER;4180;0,418
